p1,r1,p2,r2
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:PinTerminal.kind,nc:PinTerminalKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:PinTerminal.kind,nc:PinTerminalKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:PinTerminal.kind,nc:PinTerminalKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:PinTerminal.kind,nc:PinTerminalKind
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
nc:EnergyType.kind,nc:EnergyKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
nc:PinTerminal.kind,nc:PinTerminalKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
nc:Gate.kind,nc:GateLogicKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
nc:PowerBidDependency.kind,nc:PowerBidDependencyKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:EnergyType.kind,nc:EnergyKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:PinTerminal.kind,nc:PinTerminalKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:Gate.kind,nc:GateLogicKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:PowerBidDependency.kind,nc:PowerBidDependencyKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
eu:OperationalLimitType.kind,eu:LimitKind,nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind
nc:CompensatorController.mode,nc:CompensatorControlModeKind,nc:PowerFrequencyController.mode,nc:PowerFrequencyControlKind
nc:DirectCurrentEquipmentController.mode,nc:DCControlModeKind,nc:PowerFrequencyController.mode,nc:PowerFrequencyControlKind
nc:InjectionController.mode,nc:InjectionControlModeKind,nc:PowerFrequencyController.mode,nc:PowerFrequencyControlKind
cim:RegulatingControl.mode,cim:RegulatingControlModeKind,nc:PowerFrequencyController.mode,nc:PowerFrequencyControlKind
cim:PetersenCoil.mode,cim:PetersenCoilModeKind,nc:PowerFrequencyController.mode,nc:PowerFrequencyControlKind
nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction,nc:RemedialActionImpact.RemedialAction,nc:RemedialAction
nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency,nc:RemedialActionImpact.RemedialAction,nc:RemedialAction
nc:AvailabilitySchedule.RemedialAction,nc:AvailabilityRemedialAction,nc:RemedialActionOutcomeValue.RemedialAction,nc:RemedialAction
nc:RemedialActionGroup.RemedialAction,nc:RemedialActionDependency,nc:RemedialActionOutcomeValue.RemedialAction,nc:RemedialAction
nc:AvailabilityPowerSystemFunction.kind,nc:AvailabilityFunctionKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:BaseTimeSeries.kind,nc:BaseTimeSeriesKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:ExceptionalContingency.kind,nc:ContingencyConditionKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:EnergyType.kind,nc:EnergyKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:GeothermalGeneratingUnit.kind,nc:GeothermalUnitKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:PinTerminal.kind,nc:PinTerminalKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:PowerElectricalChemicalUnit.kind,nc:PowerElectricalChemicalUnitKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:PowerElectronicsMarineUnit.kind,nc:MarineUnitKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
cim:Fault.kind,cim:PhaseConnectedFaultKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:Gate.kind,nc:GateLogicKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:MeasurementCalculator.kind,nc:CalculationKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:PinDCTerminal.kind,nc:PinDCTerminalKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:PinPowerTransferCorridor.kind,nc:PinPowerTransferCorridorKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:RemedialAction.kind,nc:RemedialActionKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:RemedialActionDependency.kind,nc:RemedialActionDependencyKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:RemedialActionCost.kind,nc:CostSettledKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
nc:PowerBidDependency.kind,nc:PowerBidDependencyKind,nc:RemedialActionImpact.kind,nc:ImpactAgreementKind
