q,p1,r1,p2,r2
"cims:stereotype","nc:CurrentDroopOverride.mRID","uml:attribute","nc:Name.mRID","""NC"""
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","uml:attribute","nc:Name.mRID","""NC"""
"cims:stereotype","nc:InfeedTerminal.mRID","uml:attribute","nc:Name.mRID","""NC"""
"cims:stereotype","nc:FaultCause.mRID","uml:attribute","nc:Name.mRID","""NC"""
"cims:stereotype","nc:FaultOutage.mRID","uml:attribute","nc:Name.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:Name.mRID","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","uml:attribute","nc:Name.mRID","""NC"""
"cims:stereotype","nc:HourPeriod.mRID","uml:attribute","nc:Name.mRID","""NC"""
"cims:multiplicity","cim:IdentifiedObject.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:multiplicity","nc:AssessedElementWithContingency.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:multiplicity","nc:AssessedElementWithRemedialAction.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:multiplicity","nc:CrossBorderRelevance.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:multiplicity","nc:CurrentDroopOverride.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:multiplicity","nc:FrequencyMonitoringTerminal.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:multiplicity","nc:InfeedTerminal.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:multiplicity","nc:FaultCause.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:multiplicity","nc:FaultOutage.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:multiplicity","nc:AreaBorderTerminal.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:multiplicity","nc:ContingencyWithRemedialAction.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:multiplicity","nc:HourPeriod.mRID","cims:M:1..1","nc:Name.mRID","cims:M:0..1"
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:NameType.mRID","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","""NC""","nc:NameType.mRID","uml:attribute"
"cims:stereotype","nc:CrossBorderRelevance.mRID","""NC""","nc:NameType.mRID","uml:attribute"
"cims:stereotype","nc:CurrentDroopOverride.mRID","""NC""","nc:NameType.mRID","uml:attribute"
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","""NC""","nc:NameType.mRID","uml:attribute"
"cims:stereotype","nc:InfeedTerminal.mRID","""NC""","nc:NameType.mRID","uml:attribute"
"cims:stereotype","nc:FaultCause.mRID","""NC""","nc:NameType.mRID","uml:attribute"
"cims:stereotype","nc:FaultOutage.mRID","""NC""","nc:NameType.mRID","uml:attribute"
"cims:stereotype","nc:Name.mRID","""NC""","nc:NameType.mRID","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","""NC""","nc:NameType.mRID","uml:attribute"
"cims:stereotype","nc:HourPeriod.mRID","""NC""","nc:NameType.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:CrossBorderRelevance.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:CurrentDroopOverride.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:InfeedTerminal.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:FaultCause.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:FaultOutage.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:Name.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:stereotype","nc:HourPeriod.mRID","uml:attribute","nc:NameType.mRID","""NC"""
"cims:multiplicity","nc:Name.mRID","cims:M:0..1","nc:NameType.mRID","cims:M:1..1"
"rdfs:comment","md:Model.description","""A description of the model, e.g. the name of person that created the model and for what purpose. The number of UTF 8 characters is limited to 2000.""","nc:NamingAuthority.description","""Description of the name authority."""
"rdfs:comment","md:Model.description","""A description of the model, e.g. the name of person that created the model and for what purpose. The number of UTF- 8 characters is limited to 2000.""","nc:NamingAuthority.description","""Description of the name authority."""
"rdfs:comment","cim:IdentifiedObject.description","""The description is a free human readable text describing or naming the object. It may be non unique and may not correlate to a naming hierarchy.""","nc:NamingAuthority.description","""Description of the name authority."""
"rdfs:comment","cim:NameType.description","""Description of the name type.""","nc:NamingAuthority.description","""Description of the name authority."""
"rdfs:comment","dct:PowerSystemProjectGroup.description","""A free- text account of the resource. Description may include but is not limited to:an abstract, a table of contents, a graphical representation, or a free- text account of the resource.""","nc:NamingAuthority.description","""Description of the name authority."""
"rdfs:comment","dct:Resource.description","""A free- text account of the resource. Description may include but is not limited to:an abstract, a table of contents, a graphical representation, or a free- text account of the resource.""","nc:NamingAuthority.description","""Description of the name authority."""
"cims:stereotype","md:Model.description","""md""","nc:NamingAuthority.description","uml:attribute"
"cims:stereotype","dct:PowerSystemProjectGroup.description","""dcterms""","nc:NamingAuthority.description","uml:attribute"
"cims:stereotype","dct:Resource.description","""dcterms""","nc:NamingAuthority.description","uml:attribute"
"cims:stereotype","md:Model.description","""md""","nc:NamingAuthority.description","""NC"""
"cims:stereotype","md:Model.description","uml:attribute","nc:NamingAuthority.description","""NC"""
"cims:stereotype","cim:IdentifiedObject.description","uml:attribute","nc:NamingAuthority.description","""NC"""
"cims:stereotype","cim:NameType.description","uml:attribute","nc:NamingAuthority.description","""NC"""
"cims:stereotype","dct:PowerSystemProjectGroup.description","uml:attribute","nc:NamingAuthority.description","""NC"""
"cims:stereotype","dct:PowerSystemProjectGroup.description","""dcterms""","nc:NamingAuthority.description","""NC"""
"cims:stereotype","dct:Resource.description","uml:attribute","nc:NamingAuthority.description","""NC"""
"cims:stereotype","dct:Resource.description","""dcterms""","nc:NamingAuthority.description","""NC"""
"cims:multiplicity","md:Model.description","cims:M:1..1","nc:NamingAuthority.description","cims:M:0..1"
"cims:stereotype","nc:AssessedElementWithContingency.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","nc:CrossBorderRelevance.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","nc:CurrentDroopOverride.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","nc:InfeedTerminal.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","nc:FaultCause.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","nc:FaultOutage.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","nc:Name.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","nc:NameType.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","nc:HourPeriod.mRID","""NC""","nc:NamingAuthority.mRID","uml:attribute"
"cims:stereotype","cim:IdentifiedObject.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithContingency.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:AssessedElementWithRemedialAction.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:CrossBorderRelevance.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:CurrentDroopOverride.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:FrequencyMonitoringTerminal.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:InfeedTerminal.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:FaultCause.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:FaultOutage.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:AreaBorderTerminal.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:Name.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:NameType.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:ContingencyWithRemedialAction.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:stereotype","nc:HourPeriod.mRID","uml:attribute","nc:NamingAuthority.mRID","""NC"""
"cims:multiplicity","nc:Name.mRID","cims:M:0..1","nc:NamingAuthority.mRID","cims:M:1..1"
"rdfs:comment","cim:IdentifiedObject.name","""The name is any free human readable and possibly non unique text naming the object.""","nc:NamingAuthority.name","""Name of the name authority."""
"rdfs:comment","cim:Name.name","""Any free text that used as a name or alternative identifier of the object.""","nc:NamingAuthority.name","""Name of the name authority."""
"rdfs:comment","cim:NameType.name","""Name of the name type.""","nc:NamingAuthority.name","""Name of the name authority."""
"rdfs:comment","cim:StreetDetail.name","""Name of the street.""","nc:NamingAuthority.name","""Name of the name authority."""
"rdfs:comment","cim:TownDetail.name","""Town name.""","nc:NamingAuthority.name","""Name of the name authority."""
"cims:stereotype","cim:IdentifiedObject.name","uml:attribute","nc:NamingAuthority.name","""NC"""
"cims:stereotype","cim:Name.name","uml:attribute","nc:NamingAuthority.name","""NC"""
"cims:stereotype","cim:NameType.name","uml:attribute","nc:NamingAuthority.name","""NC"""
"cims:stereotype","cim:StreetDetail.name","uml:attribute","nc:NamingAuthority.name","""NC"""
"cims:stereotype","cim:TownDetail.name","uml:attribute","nc:NamingAuthority.name","""NC"""
"cims:multiplicity","cim:IdentifiedObject.name","cims:M:0..1","nc:NamingAuthority.name","cims:M:1..1"
"cims:multiplicity","cim:StreetDetail.name","cims:M:0..1","nc:NamingAuthority.name","cims:M:1..1"
"cims:multiplicity","cim:TownDetail.name","cims:M:0..1","nc:NamingAuthority.name","cims:M:1..1"
"rdfs:comment","nc:AutomationFunction.type","""Type of automation function.""","nc:ObjectType.type","""The specialised type of an object when the instance object is serialised using a generalised class. For example, a Meter being serialised as an EndDevice in a message exchange should have the type attribute specified as 'Meter'."""
"rdfs:comment","cim:StreetDetail.type","""Type of street. Examples include:street, circle, boulevard, avenue, road, drive, etc.""","nc:ObjectType.type","""The specialised type of an object when the instance object is serialised using a generalised class. For example, a Meter being serialised as an EndDevice in a message exchange should have the type attribute specified as 'Meter'."""
"cims:stereotype","nc:AutomationFunction.type","""NC""","nc:ObjectType.type","uml:attribute"
"cims:stereotype","nc:AutomationFunction.type","uml:attribute","nc:ObjectType.type","""NC"""
"cims:stereotype","cim:StreetDetail.type","uml:attribute","nc:ObjectType.type","""NC"""
"cims:multiplicity","nc:AutomationFunction.type","cims:M:0..1","nc:ObjectType.type","cims:M:1..1"
"cims:multiplicity","cim:StreetDetail.type","cims:M:0..1","nc:ObjectType.type","cims:M:1..1"
"cims:stereotype","nc:EventTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:GenericValueTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:AssessedElementTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:AvailabilityTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:ContingencyTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:EnablingTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:GridStateAlterationTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:InfeedLimitTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:ACDCTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:ActivePowerLimitTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:ApparentPowerLimitTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:AsynchronousMachineTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:BatteryUnitTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:ControlAreaTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:CurrentLimitTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:EnergyConnectionTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:EquivalentInjectionTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:ExternalNetworkInjectionTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:GeneratingUnitTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:InServiceTimePoint.atTime","""NC""","nc:MustRunTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:EventTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:GenericValueTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:AssessedElementTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:AvailabilityTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:ContingencyTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:EnablingTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:GridStateAlterationTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:InfeedLimitTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:ACDCTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:ActivePowerLimitTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:ApparentPowerLimitTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:AsynchronousMachineTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:BatteryUnitTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:ControlAreaTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:CurrentLimitTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:EnergyConnectionTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:EquivalentInjectionTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:ExternalNetworkInjectionTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:GeneratingUnitTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:stereotype","nc:InServiceTimePoint.atTime","uml:attribute","nc:MustRunTimePoint.atTime","""NC"""
"cims:multiplicity","nc:EventTimePoint.atTime","cims:M:0..1","nc:MustRunTimePoint.atTime","cims:M:1..1"
"rdfs:comment","nc:GeneratingUnit.mustRun","""Identifies if the generating unit is a must- run unit. This means that it cannot be instructed to shutdown due to other obligation. e.g. Providing heat. If true, the generating unit is must- run. If false, it is not.""","nc:MustRunTimePoint.mustRun","""True, if the must- run instruction is active this time point. Otherwise false."""
"cims:stereotype","nc:GeneratingUnit.mustRun","""NC""","nc:MustRunTimePoint.mustRun","uml:attribute"
"cims:stereotype","nc:GeneratingUnit.mustRun","uml:attribute","nc:MustRunTimePoint.mustRun","""NC"""
"cims:stereotype","nc:GeneratingUnit.mustRunP","""NC""","nc:MustRunTimePoint.mustRunP","uml:attribute"
"cims:stereotype","nc:GeneratingUnit.mustRunP","uml:attribute","nc:MustRunTimePoint.mustRunP","""NC"""
"cims:stereotype","nc:GeneratingUnit.mustRunQ","""NC""","nc:MustRunTimePoint.mustRunQ","uml:attribute"
"cims:stereotype","nc:GeneratingUnit.mustRunQ","uml:attribute","nc:MustRunTimePoint.mustRunQ","""NC"""
"rdfs:comment","nc:PowerFlowResult.atTime","""The date and time of the scenario time that was studied and at which the limit violation occurred.""","nc:PowerTimePoint.atTime","""The time the data is valid for."""
"cims:stereotype","nc:EventTimePoint.atTime","""NC""","nc:PowerTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:MustRunTimePoint.atTime","""NC""","nc:PowerTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:GenericValueTimePoint.atTime","""NC""","nc:PowerTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:PowerFlowResult.atTime","""NC""","nc:PowerTimePoint.atTime","uml:attribute"
"cims:stereotype","nc:AssessedElementTimePoint.atTime","""NC""","nc:PowerTimePoint.atTime","uml:attribute"
